,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
141,frozenset(['COFFEE MUG PEARS  DESIGN']),frozenset(['COFFEE MUG APPLES DESIGN']),0.031685678073510776,0.06337135614702155,0.029150823827629912,0.9199999999999999,14.517599999999998,0.02714285943767359,11.70785804816222
134,"frozenset(['ROUND SNACK BOXES SET OF4 WOODLAND', 'LUNCH BOX WITH CUTLERY RETROSPOT'])",frozenset(['ROUND SNACK BOXES SET OF 4 FRUITS']),0.034220532319391636,0.16983523447401774,0.030418250950570342,0.8888888888888888,5.233830845771144,0.02460639882028076,7.471482889733838
0,frozenset(['SWEETHEART CERAMIC TRINKET BOX']),frozenset(['STRAWBERRY CERAMIC TRINKET BOX']),0.032953105196451206,0.06463878326996197,0.029150823827629912,0.8846153846153846,13.68552036199095,0.027020775202764243,8.106463878326993
102,"frozenset(['ROUND SNACK BOXES SET OF 4 FRUITS', 'SPACEBOY LUNCH BOX'])",frozenset(['ROUND SNACK BOXES SET OF4 WOODLAND']),0.030418250950570342,0.2623574144486692,0.026615969581749048,0.875,3.3351449275362315,0.018635515910306637,5.901140684410646
29,frozenset(['BLUE SPOTTY BOWL']),frozenset(['RED SPOTTY BOWL']),0.029150823827629912,0.03929024081115336,0.025348542458808618,0.8695652173913043,22.131837307152875,0.02420319957077753,7.365441487114489
24,frozenset(['RED RETROSPOT CHARLOTTE BAG']),frozenset(['WOODLAND CHARLOTTE BAG']),0.046894803548795945,0.16603295310519645,0.04055766793409379,0.8648648648648648,5.208995254796782,0.03277158521559915,6.171356147021543
135,"frozenset(['LUNCH BOX WITH CUTLERY RETROSPOT', 'ROUND SNACK BOXES SET OF 4 FRUITS'])",frozenset(['ROUND SNACK BOXES SET OF4 WOODLAND']),0.035487959442332066,0.2623574144486692,0.030418250950570342,0.8571428571428571,3.2670807453416146,0.021107721667220865,5.163498098859313
85,frozenset(['CHARLOTTE BAG SUKI DESIGN']),frozenset(['WOODLAND CHARLOTTE BAG']),0.048162230671736375,0.16603295310519645,0.04055766793409379,0.8421052631578947,5.071916432302129,0.032561150547531725,5.281791297000421
22,frozenset(['SET/6 RED SPOTTY PAPER CUPS']),frozenset(['SET/6 RED SPOTTY PAPER PLATES']),0.05576679340937896,0.057034220532319393,0.046894803548795945,0.8409090909090908,14.743939393939392,0.04371418795510513,5.927213470939703
71,"frozenset(['WOODLAND CHARLOTTE BAG', 'ROUND SNACK BOXES SET OF 4 FRUITS'])",frozenset(['ROUND SNACK BOXES SET OF4 WOODLAND']),0.05449936628643853,0.2623574144486692,0.045627376425855515,0.8372093023255813,3.1911021233569254,0.03132906359785453,4.531233025529602
13,"frozenset(['PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF 4 FRUITS'])",frozenset(['ROUND SNACK BOXES SET OF4 WOODLAND']),0.044359949302915085,0.2623574144486692,0.036755386565272496,0.8285714285714285,3.1581780538302273,0.02511722496108565,4.3029150823827615
